iter	RMSE
0	0.3286967682
1	0.3172191139
2	0.3055660829
3	0.2942674728
4	0.2832727231
5	0.2734640252
6	0.2643043188
7	0.2547654914
8	0.2455860633
9	0.2365469204
10	0.2283348517
11	0.2202063197
12	0.2119621634
13	0.2043831664
14	0.1977653671
15	0.1906213049
16	0.1847879319
17	0.1779371942
18	0.1719039355
19	0.1657598562
20	0.1610075036
21	0.1560115721
22	0.1504996944
23	0.1449009383
24	0.1405798691
25	0.1363529963
26	0.1324370667
27	0.1276814554
28	0.1234408971
29	0.1193171423
30	0.11475097
31	0.1117448309
32	0.1085019654
33	0.1057008135
34	0.10197679
35	0.0983693542
36	0.09496067468
37	0.09172183193
38	0.08898385824
39	0.08607290585
40	0.08366409107
41	0.08127239321
42	0.07843336622
43	0.07589816499
44	0.07347618472
45	0.07110423961
46	0.06922712371
47	0.06682499345
48	0.06496392533
49	0.06275618116
50	0.06094126978
51	0.05926782825
52	0.05718041238
53	0.05541771021
54	0.05365563653
55	0.05216395834
56	0.05063548924
57	0.04942884255
58	0.04827308928
59	0.04677851108
60	0.04547425776
61	0.0440537689
62	0.04278973881
63	0.04161792246
64	0.04038933995
65	0.03933289385
66	0.03817339716
67	0.03707324806
68	0.03599786392
69	0.03503418701
70	0.0340284797
71	0.03303001883
72	0.03202192586
73	0.03121982271
74	0.03038504487
75	0.0295704516
76	0.02877363521
77	0.0280368037
78	0.02727636883
79	0.02654407351
80	0.02582641381
81	0.02516650118
82	0.02446876744
83	0.02381674911
84	0.02328755
85	0.02273270515
86	0.02226919006
87	0.0218173973
88	0.02135089858
89	0.02083425618
90	0.0205062018
91	0.02011957278
92	0.01966139857
93	0.01926763669
94	0.0188658109
95	0.01844677492
96	0.01805361529
97	0.01772209214
98	0.01740108038
99	0.01702716937
100	0.01671909953
101	0.01637786034
102	0.01612736694
103	0.01581418874
104	0.01551219571
105	0.0152290614
106	0.01501156678
107	0.01475133459
108	0.01450800238
109	0.01421421412
110	0.01390214674
111	0.01374893309
112	0.01351402884
113	0.01327039014
114	0.01305458796
115	0.01295607584
116	0.01280220388
117	0.01262926317
118	0.01238671051
119	0.01231019316
120	0.01223917891
121	0.01214943053
122	0.01207918388
123	0.01200870519
124	0.01193252433
125	0.01186559618
126	0.01168600556
127	0.01162520719
128	0.01156982114
129	0.01151146541
130	0.01130370716
131	0.0112505946
132	0.01118684968
133	0.01113240768
134	0.01107673438
135	0.01095325907
136	0.01074717795
137	0.01068461726
138	0.01063733709
139	0.01057922764
140	0.01052780701
141	0.01047895857
142	0.01042846582
143	0.010376102
144	0.01033094865
145	0.01027473033
146	0.01023094015
147	0.01018495094
148	0.01013798368
149	0.0100991026
150	0.01005866909
151	0.01001816771
152	0.009979069399
153	0.009938294354
154	0.009853700967
155	0.009819542113
156	0.009781180329
157	0.009744046689
158	0.009700389311
159	0.009566154007
160	0.009535029125
161	0.009504583305
162	0.009398093652
163	0.009368735564
164	0.009338524109
165	0.009306931404
166	0.009183807697
167	0.009154085636
168	0.009127710699
169	0.009013604024
170	0.008988243809
171	0.008909207691
172	0.008882477913
173	0.008857601061
174	0.00883330488
175	0.008741560756
176	0.008719225906
177	0.008621955618
178	0.008556196236
179	0.008535077205
180	0.008513422731
181	0.008492307245
182	0.008471647504
183	0.008376602571
184	0.008349306834
185	0.008330059197
186	0.008311266145
187	0.008292902742
188	0.008275637415
189	0.008220591494
190	0.008122673168
191	0.008031100804
192	0.008014515514
193	0.007936824559
194	0.007921007436
195	0.007905564201
196	0.007890887867
197	0.007876419919
198	0.007862289434
199	0.007806057532
