datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,7465.9,7310.292835488719,7368.935144349739,7410.249448079067,7545.667192516929
2023-01-01 01:00:00,7462.04,7156.242808244046,7032.788242126131,7327.981008270807,7397.505929960555
2023-01-01 02:00:00,6878.53,6691.125387940444,6815.8862251328255,6816.175993400317,6841.019585062539
2023-01-01 03:00:00,7131.69,6999.644678835953,6827.2043444614765,7134.029492307047,7202.199099063788
2023-01-01 04:00:00,7133.55,7089.630393644834,7027.648668253472,7146.545583438725,7241.9564660793185
2023-01-01 05:00:00,7148.87,7113.506795615989,7203.121457302716,7133.902483856115,7346.274216742256
2023-01-01 06:00:00,7165.37,6965.453302876422,7187.352273273301,7115.360738005138,7134.69323874487
2023-01-01 07:00:00,7158.05,6942.840398283572,7065.746248664723,6960.861791109945,7077.39900082175
2023-01-01 08:00:00,7129.45,6896.619546928254,7118.492120420031,7056.222794189256,7264.930557484274
2023-01-01 09:00:00,6963.18,6845.711317093957,6918.925344176426,6991.798515106227,6892.799140360084
2023-01-01 10:00:00,6955.55,6830.155944567186,6954.0081102052,6884.177966716754,6798.309694593427
2023-01-01 11:00:00,6942.06,6852.214123276754,6874.846620080548,6890.984124936378,6931.341617701438
2023-01-01 12:00:00,6949.05,6747.43843034843,6634.589215457351,6749.39661811563,7008.731900640296
2023-01-01 13:00:00,6951.66,7065.024319238316,6903.72912654645,7117.309911298026,6926.485806851153
2023-01-01 14:00:00,6949.69,6565.758019590153,6870.938587525546,6828.7841728860785,6888.611473608458
2023-01-01 15:00:00,6790.36,6856.510884309482,6796.406693776785,6767.086138410509,6821.685142209251
2023-01-01 16:00:00,7412.97,7251.891170921553,7392.928751277102,7333.715551047253,7326.151521787258
2023-01-01 17:00:00,7414.05,7115.781584281951,7280.914216715003,7293.385968593673,7419.177192029405
2023-01-01 18:00:00,7334.61,7145.577813656062,7286.715913212104,7252.920689791095,7305.967917769652
2023-01-01 19:00:00,6325.44,6295.23466721837,6256.837163359315,6304.883023301403,6311.722857224495
