datetime,mean,q10,q90
2025-12-13 00:00:00,97.25460667492689,13.11598646258615,181.39322688726764
2025-12-13 01:00:00,95.25930250545305,11.12068229311231,179.3979227177938
2025-12-13 02:00:00,92.79253183812821,8.653911625787472,176.93115205046894
2025-12-13 03:00:00,94.64999816175782,10.511377949417081,178.78861837409858
2025-12-13 04:00:00,95.15425686410077,11.015636651760033,179.29287707644153
2025-12-13 05:00:00,102.58440789459411,18.445787682253368,186.72302810693486
2025-12-13 06:00:00,102.34134115485905,18.20272094251831,186.4799613671998
2025-12-13 07:00:00,105.94876799889737,21.810147786556627,190.0873882112381
2025-12-13 08:00:00,100.0912263290214,15.952606116680656,184.22984654136212
2025-12-13 09:00:00,98.85576392369296,14.717143711352222,182.99438413603372
2025-12-13 10:00:00,97.09825114406408,12.95963093172334,181.23687135640483
2025-12-13 11:00:00,94.0205515981871,9.881931385846357,178.15917181052782
2025-12-13 12:00:00,93.01492594346108,8.87630573112034,177.15354615580182
2025-12-13 13:00:00,98.9897262139891,14.851106001648361,183.12834642632984
2025-12-13 14:00:00,112.35350887944286,28.214888667102116,196.4921290917836
2025-12-13 15:00:00,117.29411005326267,33.15548984092193,201.43273026560342
2025-12-13 16:00:00,122.20439281782288,38.06577260548214,206.3430130301636
2025-12-13 17:00:00,120.7095785908858,36.57095837854506,204.84819880322652
2025-12-13 18:00:00,120.19848316613916,36.059862953798415,204.3371033784799
2025-12-13 19:00:00,114.7681058585833,30.629485646242557,198.90672607092404
2025-12-13 20:00:00,107.28390315623272,23.145282943891985,191.42252336857348
2025-12-13 21:00:00,103.61085205389134,19.472231841550595,187.7494722662321
2025-12-13 22:00:00,98.57720101085117,14.43858079851043,182.7158212231919
