datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,19832.0,19776.21417159494,19752.18445891359,19843.109343036267,19958.87170866451
2023-01-01 00:15:00,19655.0,19602.38153065224,19575.18445891359,19666.109343036267,19781.87170866451
2023-01-01 00:30:00,19462.0,19409.38153065224,19382.18445891359,19472.706999990503,19589.664878645905
2023-01-01 00:45:00,19256.0,19210.160500422244,19175.03879020678,19266.706999990503,19390.87071482554
2023-01-01 01:00:00,19058.0,18991.763996916397,18886.81521662542,18940.504830693222,19071.686084009005
2023-01-01 01:15:00,18832.0,18765.763996916397,18658.41019464308,18715.416762573986,18844.088305465983
2023-01-01 01:30:00,18601.0,18534.763996916397,18429.31758994306,18485.299799850924,18613.088305465983
2023-01-01 01:45:00,18367.0,18300.763996916397,18195.31758994306,18251.299799850924,18379.088305465983
2023-01-01 02:00:00,18128.0,18102.66565411292,17929.01225191358,18077.81447285191,18146.979817609685
2023-01-01 02:15:00,17897.0,17871.66565411292,17698.01225191358,17846.81447285191,17915.979817609685
2023-01-01 02:30:00,17672.0,17646.66565411292,17473.01225191358,17621.81447285191,17690.979817609685
2023-01-01 02:45:00,17462.0,17436.66565411292,17263.01225191358,17411.81447285191,17480.979817609685
2023-01-01 03:00:00,17210.0,17167.47541608295,17082.15443595089,17166.170521539127,17252.767820502075
2023-01-01 03:15:00,17058.0,17015.47541608295,16930.15443595089,17014.170521539127,17100.767820502075
2023-01-01 03:30:00,16945.0,16902.47541608295,16817.15443595089,16901.170521539127,16987.767820502075
2023-01-01 03:45:00,16869.0,16826.47541608295,16741.15443595089,16825.170521539127,16911.767820502075
2023-01-01 04:00:00,16775.0,16715.451187690625,16587.813622069472,16724.215855099308,16759.40283698747
2023-01-01 04:15:00,16756.0,16696.451187690625,16568.813622069472,16705.215855099308,16740.40283698747
2023-01-01 04:30:00,16758.0,16698.451187690625,16570.813622069472,16707.215855099308,16742.40283698747
2023-01-01 04:45:00,16783.0,16723.451187690625,16595.813622069472,16732.215855099308,16767.40283698747
2023-01-01 05:00:00,16788.0,16782.826167970128,16457.30233366009,16736.786673354974,16732.31237855449
2023-01-01 05:15:00,16859.0,16853.826167970128,16528.30233366009,16807.786673354974,16803.31237855449
2023-01-01 05:30:00,16953.0,16947.826167970128,16622.30233366009,16901.786673354974,16897.31237855449
2023-01-01 05:45:00,17057.0,17051.826167970128,16726.30233366009,17005.786673354974,17001.31237855449
2023-01-01 06:00:00,17205.0,17035.37531077952,17018.766088697346,17124.42433041067,17293.139181896076
2023-01-01 06:15:00,17282.0,17112.37531077952,17095.766088697346,17201.42433041067,17370.139181896076
2023-01-01 06:30:00,17325.0,17155.37531077952,17138.766088697346,17244.42433041067,17413.139181896076
2023-01-01 06:45:00,17338.0,17168.37531077952,17151.766088697346,17257.42433041067,17426.139181896076
2023-01-01 07:00:00,17348.0,17305.019408135642,17167.064260116313,17362.873552882007,17551.41637636937
