datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,40841.27,40826.73989375591,40206.591917220256,40655.95699103942,41551.21295449655
2023-01-01 00:15:00,40271.14,40259.55048047761,39633.92505102797,40115.61582557839,41004.71358051304
2023-01-01 00:30:00,39746.06,39762.79351242073,39099.122874603774,39590.53582557839,40475.77949037416
2023-01-01 00:45:00,39249.27,39247.174858379134,38608.52352179794,39093.745825578386,39973.46222424812
2023-01-01 01:00:00,39059.02,38967.44909113039,38144.843491606254,38901.335116767725,39450.73725306222
2023-01-01 01:15:00,38942.85,38851.27909113039,38029.81974241506,38790.447987649626,39334.567253062225
2023-01-01 01:30:00,38450.68,38359.10909113039,37541.848101846655,38314.016528724744,38856.76998310777
2023-01-01 01:45:00,38071.57,37979.99909113039,37163.44561176284,37988.61281222682,38479.872265656355
2023-01-01 02:00:00,37631.41,37379.53401686317,36964.10222776677,37441.62314316141,38718.48701091985
2023-01-01 02:15:00,37650.61,37398.73401686316,36983.30222776677,37460.823143161404,38737.68701091985
2023-01-01 02:30:00,37558.38,37306.50401686316,36891.07222776677,37368.5931431614,38645.457010919854
2023-01-01 02:45:00,37514.25,37262.37401686316,36846.94222776677,37324.4631431614,38601.32701091985
2023-01-01 03:00:00,37770.84,37709.43261472278,36651.84380024773,37695.71157840841,38675.51523967015
2023-01-01 03:15:00,37834.8,37773.39261472278,36715.80380024773,37759.671578408415,38739.47523967016
2023-01-01 03:30:00,37722.87,37661.46261472278,36603.87380024773,37647.741578408415,38627.54523967016
2023-01-01 03:45:00,37494.43,37433.02261472278,36387.48123615945,37419.30157840841,38403.2729994301
2023-01-01 04:00:00,37342.54,36453.01006391884,36019.45742059789,36750.89615801167,37896.19400636509
2023-01-01 04:15:00,36846.41,35956.88006391884,35523.327420597896,36254.76615801167,37400.06400636509
2023-01-01 04:30:00,36401.2,35511.670063918835,35078.11742059789,35809.55615801166,36954.85400636509
2023-01-01 04:45:00,35927.77,35038.240063918834,34604.68742059789,35336.12615801166,36481.42400636509
2023-01-01 05:00:00,35192.27,34749.365500847576,33972.174967829626,35002.27126474283,36077.32879379253
2023-01-01 05:15:00,35256.98,34814.07550084758,34036.88496782963,35066.98126474283,36142.03879379253
2023-01-01 05:30:00,34718.32,34275.41550084758,33498.22496782963,34528.32126474283,35603.37879379253
2023-01-01 05:45:00,34737.66,34294.75550084758,33517.56496782963,34547.661264742834,35622.718793792534
2023-01-01 06:00:00,35044.8,34589.3014203311,34358.39226836222,34779.53409169279,35720.364797965754
2023-01-01 06:15:00,35160.79,34705.2914203311,34474.38226836222,34895.52409169279,35836.35479796575
2023-01-01 06:30:00,35573.84,35118.3414203311,34887.432268362216,35308.57409169278,36249.40479796575
2023-01-01 06:45:00,35625.37,35169.8714203311,34938.96226836222,35360.10409169279,36300.934797965754
2023-01-01 07:00:00,36449.28,37008.745254932925,35612.96812631729,36233.10415056566,37140.773183203295
2023-01-01 07:15:00,36619.87,37179.33525493293,35783.55812631729,36403.694150565665,37311.3631832033
2023-01-01 07:30:00,37049.31,37608.77525493292,36212.99812631729,36833.13415056566,37740.803183203294
2023-01-01 07:45:00,37614.18,38173.645254932926,36777.86812631729,37398.00415056566,38305.6731832033
2023-01-01 08:00:00,38771.2,38577.50909693827,37223.48536407344,38274.310119091075,38769.5045512347
2023-01-01 08:15:00,39382.26,39188.56909693828,37834.54536407345,38885.37011909108,39380.564551234704
2023-01-01 08:30:00,39830.98,39637.28909693828,38283.26536407345,39334.09011909108,39829.284551234705
2023-01-01 08:45:00,40257.11,40063.419096938276,38709.39536407345,39760.22011909108,40255.4145512347
2023-01-01 09:00:00,41140.94,41519.732589246734,40042.219473445824,41529.8279989329,42420.89092085673
2023-01-01 09:15:00,41355.39,41734.18258924673,40256.66947344582,41744.2779989329,42635.340920856725
2023-01-01 09:30:00,41897.31,42276.10258924673,40798.58947344582,42286.1979989329,43177.26092085672
2023-01-01 09:45:00,42136.37,42515.162589246735,41037.649473445825,42525.2579989329,43416.32092085673
2023-01-01 10:00:00,42935.67,43022.38551122222,42331.022689181584,43179.18898952614,43390.461863918965
2023-01-01 10:15:00,43660.13,43746.84551122222,43055.48268918158,43903.64898952614,44114.921863918964
2023-01-01 10:30:00,43894.13,43980.84551122222,43289.48268918158,44137.64898952614,44348.921863918964
2023-01-01 10:45:00,43850.54,43937.255511222225,43245.892689181586,44094.058989526144,44305.33186391897
2023-01-01 11:00:00,43909.76,43662.59352503915,43114.41649973497,43442.36913488811,44812.0699689725
2023-01-01 11:15:00,43906.57,43659.403525039146,43111.22649973497,43439.17913488811,44808.8799689725
2023-01-01 11:30:00,43757.33,43510.16352503915,42961.98649973497,43289.93913488811,44659.6399689725
2023-01-01 11:45:00,43390.37,43143.20352503915,42595.02649973497,42922.97913488811,44292.6799689725
2023-01-01 12:00:00,43214.75,43087.40297609278,42176.7055742717,42689.05702645603,43936.902512051965
2023-01-01 12:15:00,42969.8,42842.45297609278,41931.7555742717,42444.10702645603,43691.95251205197
2023-01-01 12:30:00,43096.51,42969.16297609278,42058.4655742717,42570.81702645603,43818.66251205197
2023-01-01 12:45:00,43072.81,42945.46297609278,42034.765574271696,42547.11702645603,43794.96251205196
2023-01-01 13:00:00,42781.39,42932.492196660656,42147.24081836735,42846.52431595246,43332.660521758255
2023-01-01 13:15:00,42681.75,42832.85219666066,42047.60081836735,42746.88431595246,43233.020521758255
2023-01-01 13:30:00,42757.48,42908.58219666066,42123.33081836735,42822.614315952465,43308.75052175826
2023-01-01 13:45:00,42899.51,43050.61219666066,42265.36081836735,42964.644315952464,43450.78052175826
2023-01-01 14:00:00,43418.82,43533.798480302714,42588.13243432659,43221.97059060568,44186.03302571523
2023-01-01 14:15:00,43323.83,43438.808480302716,42493.14243432659,43126.98059060568,44091.04302571523
2023-01-01 14:30:00,43719.98,43834.95848030272,42889.29243432659,43523.13059060568,44487.193025715234
2023-01-01 14:45:00,44016.51,44131.488480302716,43185.82243432659,43819.66059060568,44783.72302571523
2023-01-01 15:00:00,44426.39,45242.25166876104,44074.04930846145,45247.72087779429,46023.65958845635
2023-01-01 15:15:00,44846.34,45662.20166876104,44493.99930846145,45667.670877794284,46443.60958845635
2023-01-01 15:30:00,45705.83,46521.69166876104,45353.48930846145,46527.16087779429,47303.09958845635
2023-01-01 15:45:00,46861.0,47720.45242130097,46509.07092860129,47693.066638509685,48471.78308397399
2023-01-01 16:00:00,48106.41,48708.78869981325,47966.68658427355,48113.94995092878,49722.52716335021
2023-01-01 16:15:00,48632.44,49234.81869981325,48492.47892349884,48635.594905279984,50214.35890424417
2023-01-01 16:30:00,48515.63,49118.00869981325,48375.66892349884,48523.43656973081,50134.97359273362
2023-01-01 16:45:00,48825.11,49427.48869981325,48684.33842978934,48828.26490527998,50392.11155167989
2023-01-01 17:00:00,49146.02,49037.0614721539,47834.97597371958,49102.92392380226,49795.24486268021
2023-01-01 17:15:00,49472.53,49363.571472153904,48161.48597371958,49430.255361930074,50121.75486268021
2023-01-01 17:30:00,49481.83,49372.87147215391,48170.78597371958,49439.55536193008,50131.05486268021
2023-01-01 17:45:00,49344.74,49235.7814721539,48033.69597371958,49302.46536193007,49993.96486268021
2023-01-01 18:00:00,49318.06,49277.697660602025,48302.84892528721,49638.76440548585,49993.61082693601
2023-01-01 18:15:00,48849.75,48859.19697178125,47954.501016065566,49171.41139827303,49531.57520363069
2023-01-01 18:30:00,48458.86,48504.1897227451,47584.85877185886,48794.497972382924,49140.6654920223
2023-01-01 18:45:00,47885.7,47936.616746710264,47023.19240396017,48210.02802710352,48563.01427793098
2023-01-01 19:00:00,46901.56,47398.52965261545,46614.787255017865,47243.19870020653,47879.806390600635
2023-01-01 19:15:00,46364.54,46873.366250456114,46084.34308285773,46717.9962025653,47376.60311497426
2023-01-01 19:30:00,46050.74,46551.63887691628,45770.54308285773,46404.1962025653,47074.559260848124
2023-01-01 19:45:00,45519.1,46033.17017437956,45240.02915505482,45869.115739121014,46530.21319556163
2023-01-01 20:00:00,45279.48,45417.25893986583,45226.39040813971,45577.98646856051,46404.93504653545
2023-01-01 20:15:00,44726.66,44866.07189176951,44651.08597398252,45023.347260051516,45855.82005390075
2023-01-01 20:30:00,44859.81,44999.221891769506,44784.23597398251,45156.49726005151,45988.970053900746
2023-01-01 20:45:00,44661.99,44801.40189176951,44586.65078347885,44958.67726005151,45791.15005390075
2023-01-01 21:00:00,45240.97,45082.16720624178,44560.91685301279,45031.828094911616,45758.909110158886
2023-01-01 21:15:00,44917.58,44758.77720624178,44237.73216274371,44708.43809491162,45435.519110158886
