datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,10929.34,10749.504425507721,10762.410340707023,10940.056987471444,11121.425222494856
2023-01-01 00:15:00,10819.0,10639.16442550772,10653.464673491639,10834.358040980851,11020.762049231573
2023-01-01 00:30:00,10720.65,10619.09769942847,10648.93229618922,10759.024117736639,10922.440310073382
2023-01-01 00:45:00,10654.14,10556.823588191028,10584.829035209961,10707.451405121908,10892.089839934011
2023-01-01 01:00:00,10600.74,10572.490546892277,10543.014343526796,10571.473530094354,10862.257675910296
2023-01-01 01:15:00,10566.86,10538.610546892278,10509.183074234943,10537.593530094355,10828.377675910297
2023-01-01 01:30:00,10538.71,10513.018088215067,10481.439929090506,10527.112831396438,10806.277537527925
2023-01-01 01:45:00,10525.04,10499.348088215069,10467.769929090508,10513.909685266224,10792.607537527927
2023-01-01 02:00:00,10508.34,10533.501568491074,10429.667201030192,10553.296198957405,10652.00787665395
2023-01-01 02:15:00,10495.74,10521.087367147982,10435.64950159041,10541.668161799456,10639.754467338349
2023-01-01 02:30:00,10468.04,10493.387367147983,10410.09408630964,10515.98780452025,10611.197555882225
2023-01-01 02:45:00,10445.54,10470.887367147983,10395.978277626677,10493.48780452025,10588.697555882225
2023-01-01 03:00:00,10445.88,10368.737601732113,10293.67669729465,10393.427491027942,10614.387438655918
2023-01-01 03:15:00,10466.03,10383.084670858867,10313.80497811945,10413.577491027943,10634.555447835386
2023-01-01 03:30:00,10457.22,10374.274670858866,10305.01669729465,10404.767491027942,10625.727438655918
2023-01-01 03:45:00,10419.98,10342.558973631802,10268.431406487483,10375.290788082113,10588.487438655919
2023-01-01 04:00:00,10409.57,10250.245485137797,10132.328517884916,10328.479002762559,10531.142369285453
2023-01-01 04:15:00,10463.0,10303.75950761089,10185.758517884917,10379.172343353963,10585.145221275334
2023-01-01 04:30:00,10468.37,10309.12950761089,10191.128517884918,10384.542343353964,10590.515221275335
2023-01-01 04:45:00,10431.13,10271.805485137796,10153.888517884916,10349.308000809424,10553.78078970665
2023-01-01 05:00:00,10447.47,10018.448891260683,10210.37030347551,10177.694337827978,10626.568383281121
2023-01-01 05:15:00,10557.5,10128.478891260684,10320.400303475511,10256.241519401385,10736.598383281122
2023-01-01 05:30:00,10642.04,10213.018891260685,10406.30802704474,10340.781519401386,10827.419180037283
2023-01-01 05:45:00,10714.95,10285.928891260684,10482.199945041319,10413.691519401385,10900.329180037283
2023-01-01 06:00:00,10830.3,10430.912943351084,10524.148597855803,10895.942226407577,11128.521327405037
2023-01-01 06:15:00,10993.73,10593.397883561764,10687.712478011512,11051.42001908878,11286.729806304424
2023-01-01 06:30:00,11155.01,10753.492027288154,10849.023304233626,11212.642585472091,11444.729189273785
2023-01-01 06:45:00,11303.87,10902.352027288154,10997.00925891867,11361.502585472092,11593.589189273785
2023-01-01 07:00:00,11468.24,11151.959913421484,11361.45677890961,11801.115140344868,12424.552793480674
2023-01-01 07:15:00,11653.53,11341.182645378562,11546.746778909612,11940.629810422466,12533.532566686108
