datetime,mean,q10,q90
2025-12-13 00:00:00,122.68441435269544,51.14874371295005,194.22008499244083
2025-12-13 01:00:00,129.91584948706708,58.38017884732169,201.45152012681245
2025-12-13 02:00:00,123.9487953591471,52.41312471940171,195.4844659988925
2025-12-13 03:00:00,117.93093236666179,46.3952617269164,189.46660300640718
2025-12-13 04:00:00,127.82499952604354,56.28932888629815,199.36067016578892
2025-12-13 05:00:00,116.46491072370105,44.92924008395566,188.00058136344643
2025-12-13 06:00:00,133.81420658173263,62.27853594198724,205.34987722147804
2025-12-13 07:00:00,124.43637720891849,52.900706569173096,195.97204784866386
2025-12-13 08:00:00,113.93535999565374,42.39968935590835,185.47103063539913
2025-12-13 09:00:00,113.97412653772855,42.43845589798316,185.50979717747396
2025-12-13 10:00:00,106.34944901138684,34.81377837164145,177.88511965113224
2025-12-13 11:00:00,108.05134728898427,36.515676649238884,179.58701792872967
2025-12-13 12:00:00,126.57906461442893,55.04339397468354,198.11473525417432
2025-12-13 13:00:00,128.1890233077522,56.653352668006804,199.7246939474976
2025-12-13 14:00:00,132.45443074412134,60.91876010437595,203.99010138386672
2025-12-13 15:00:00,129.56313352393167,58.02746288418628,201.09880416367707
2025-12-13 16:00:00,142.2011698364953,70.6654991967499,213.73684047624067
2025-12-13 17:00:00,134.10647735406857,62.57080671432318,205.64214799381398
2025-12-13 18:00:00,134.4223971526569,62.88672651291152,205.9580677924023
2025-12-13 19:00:00,129.32405124994452,57.78838061019913,200.85972188968992
2025-12-13 20:00:00,125.35966822527035,53.823997585524964,196.89533886501573
2025-12-13 21:00:00,116.21179618714001,44.67612554739462,187.7474668268854
2025-12-13 22:00:00,117.21028976327355,45.67461912352816,188.74596040301896
