datetime,tso_forecast,corrected_mean,corrected_q10,corrected_q50,corrected_q90
2023-01-01 00:00:00,3888.0,3966.7045820642793,3895.8255321152265,3909.8880927306436,3965.176736577525
2023-01-01 01:00:00,3760.0,3817.4327289616012,3741.0680742503746,3774.0426260573336,3805.8871669599944
2023-01-01 02:00:00,3703.0,3756.3001223495235,3701.877386783962,3735.3510864083037,3744.7999785653947
2023-01-01 03:00:00,3743.0,3823.858767913798,3738.580259779859,3778.098735955242,3810.8625826529806
2023-01-01 04:00:00,3852.0,3901.241575024289,3794.758675913288,3835.3249265557297,3901.0330145269522
2023-01-01 05:00:00,3995.0,4024.940408985643,3904.4151560057667,4069.2776322531126,4101.074151065048
2023-01-01 06:00:00,4259.0,4272.6085051447835,4190.284220319786,4253.344360780505,4307.725986622285
2023-01-01 07:00:00,4538.0,4541.633626642652,4351.250301891829,4467.761254328908,4563.894867121869
2023-01-01 08:00:00,4871.0,4820.913112892526,4719.582417610116,4781.647855404563,4863.2507175126275
2023-01-01 09:00:00,5058.0,5130.091411261385,4890.994511004162,5012.566522584521,5110.910113628003
2023-01-01 10:00:00,5143.0,5236.703184764158,5167.726449528646,5252.054417261938,5374.572691260576
2023-01-01 11:00:00,4875.0,4984.309787441056,4860.460546183875,4914.8882182350435,5079.308160083322
2023-01-01 12:00:00,4579.0,4740.296766930293,4614.862695501433,4629.149012601922,4713.757058406749
2023-01-01 13:00:00,4632.0,4603.247102977725,4344.120552947634,4585.183502911875,4729.061355428321
2023-01-01 14:00:00,4809.0,4838.599214476725,4782.861701633877,4824.49984122998,4902.801435863235
2023-01-01 15:00:00,5240.0,5373.311839457972,5259.278961328428,5315.854848730366,5456.323677163506
2023-01-01 16:00:00,5838.0,5908.253360618951,5907.452184709974,5968.307724578973,5983.810305291726
2023-01-01 17:00:00,5935.0,5907.127504282296,5833.962185195436,5946.458159413214,5940.490343333641
2023-01-01 18:00:00,5734.0,5771.367665156012,5672.468066257986,5814.647057029695,5824.907221255955
2023-01-01 19:00:00,5503.0,5581.180567939576,5545.526737461693,5576.031471821723,5573.542171256338
2023-01-01 20:00:00,5080.0,5122.745475876038,5072.6549651836385,5096.501175270121,5266.200495299359
2023-01-01 21:00:00,4677.0,4707.773000682248,4685.8892944251465,4717.200330091224,4768.398323672667
2023-01-01 22:00:00,3990.0,4051.614701568586,3968.6592607985654,4049.7839080694675,4033.073787719863
2023-01-01 23:00:00,3665.0,3820.831758859286,3756.508173768473,3814.9016191364844,3916.2399476573696
2023-01-02 00:00:00,3562.0,3639.1850869695804,3554.2092686067904,3582.536390229223,3639.8613533559464
2023-01-02 01:00:00,3442.0,3492.659332055415,3411.791846114543,3455.6895548584953,3486.1240502242913
2023-01-02 02:00:00,3412.0,3463.6463721233977,3413.176092319745,3446.7058458144593,3445.6946040756966
2023-01-02 03:00:00,3539.0,3624.5476840529327,3535.2223618287603,3574.2414566911834,3607.9475783832136
2023-01-02 04:00:00,3857.0,3878.4655992708877,3796.2927003436457,3825.9952488148124,3902.9328623430347
2023-01-02 05:00:00,4278.0,4288.919985900817,4190.756517382684,4345.058548851971,4384.189971412137
2023-01-02 06:00:00,4589.0,4604.489899112158,4522.9880956911875,4587.36062433957,4642.990476580127
2023-01-02 07:00:00,4792.0,4780.058491556382,4595.5521727304895,4710.291202066199,4809.812811245723
2023-01-02 08:00:00,4820.0,4709.682302271337,4673.574335690487,4727.574513770783,4809.297008184817
