datetime,mean,q10,q90
2025-12-13 00:00:00,98.35304804082847,30.82595170643482,165.88014437522213
2025-12-13 01:00:00,96.37265879379157,28.845562459397925,163.89975512818523
2025-12-13 02:00:00,95.22834967476194,27.701253340368297,162.7554460091556
2025-12-13 03:00:00,91.65783102202269,24.130734687629044,159.18492735641632
2025-12-13 04:00:00,91.0274214423465,23.500325107952847,158.55451777674014
2025-12-13 05:00:00,104.16017759433049,36.633081259936844,171.68727392872415
2025-12-13 06:00:00,105.47870822865056,37.951611894256914,173.0058045630442
2025-12-13 07:00:00,100.40447979778656,32.87738346339292,167.93157613218023
2025-12-13 08:00:00,100.98631373408801,33.45921739969437,168.51341006848168
2025-12-13 09:00:00,101.83898411703449,34.31188778264084,169.36608045142813
2025-12-13 10:00:00,100.64754654839672,33.12045021400307,168.17464288279035
2025-12-13 11:00:00,100.8108230764341,33.28372674204046,168.33791941082774
2025-12-13 12:00:00,103.02445810030513,35.49736176591148,170.55155443469877
2025-12-13 13:00:00,106.35731878261913,38.830222448225484,173.8844151170128
2025-12-13 14:00:00,112.22293147258638,44.695835138192734,179.75002780698003
2025-12-13 15:00:00,133.41394895937972,65.88685262498608,200.94104529377336
2025-12-13 16:00:00,139.3439011247691,71.81680479037546,206.87099745916277
2025-12-13 17:00:00,134.05605497211607,66.52895863772243,201.5831513065097
2025-12-13 18:00:00,125.72323625561414,58.19613992122049,193.2503325900078
2025-12-13 19:00:00,119.5919170067238,52.06482067233016,187.11901334111747
2025-12-13 20:00:00,115.66179306154673,48.134696727153084,183.18888939594038
2025-12-13 21:00:00,110.93623412721263,43.40913779281898,178.4633304616063
2025-12-13 22:00:00,107.22602341302651,39.69892707863286,174.75311974742016
