datetime,mean,q10,q90
2025-12-13 00:00:00,101.49393932789215,32.66916942124013,170.31870923454417
2025-12-13 01:00:00,96.23800030798478,27.413230401332754,165.0627702146368
2025-12-13 02:00:00,97.80119506122382,28.9764251545718,166.62596496787586
2025-12-13 03:00:00,102.51518086539735,33.69041095874533,171.33995077204938
2025-12-13 04:00:00,114.1763731370621,45.35160323041008,183.00114304371414
2025-12-13 05:00:00,103.42495816505658,34.60018825840456,172.2497280717086
2025-12-13 06:00:00,107.16657181604918,38.34180190939716,175.9913417227012
2025-12-13 07:00:00,109.58925489497247,40.76448498832045,178.4140248016245
2025-12-13 08:00:00,108.65954266948421,39.83477276283219,177.48431257613623
2025-12-13 09:00:00,110.24961133071619,41.42484142406417,179.07438123736821
2025-12-13 10:00:00,109.2701456734726,40.445375766820575,178.09491558012462
2025-12-13 11:00:00,108.03957791863743,39.21480801198541,176.86434782528946
2025-12-13 12:00:00,102.84522693478173,34.02045702812971,171.66999684143377
2025-12-13 13:00:00,114.7515218667728,45.92675196012078,183.57629177342483
2025-12-13 14:00:00,117.93054353365795,49.10577362700593,186.75531344030998
2025-12-13 15:00:00,136.5887912958907,67.76402138923868,205.41356120254272
2025-12-13 16:00:00,142.2936177930421,73.46884788639008,211.11838769969413
2025-12-13 17:00:00,140.85627701659106,72.03150710993904,209.6810469232431
2025-12-13 18:00:00,137.7485767867099,68.92380688005787,206.5733466933619
2025-12-13 19:00:00,124.67278180324288,55.84801189659086,193.4975517098949
2025-12-13 20:00:00,118.23688226046725,49.41211235381523,187.0616521671193
2025-12-13 21:00:00,111.63048792530913,42.8057180186571,180.45525783196115
2025-12-13 22:00:00,114.90120806184804,46.076438155196016,183.72597796850005
