datetime,mean,q10,q90
2025-12-13 00:00:00,82.27758692351566,18.64642521874118,145.90874862829014
2025-12-13 01:00:00,82.70350648140668,19.0723447766322,146.33466818618115
2025-12-13 02:00:00,82.7521914171749,19.12102971240042,146.38335312194937
2025-12-13 03:00:00,88.7345371462039,25.103375441429428,152.3656988509784
2025-12-13 04:00:00,90.6052320941697,26.974070389395216,154.23639379894416
2025-12-13 05:00:00,89.8141376274991,26.182975922724616,153.44529933227358
2025-12-13 06:00:00,92.609229077793,28.978067373018526,156.2403907825675
2025-12-13 07:00:00,97.1100479399265,33.478886235152025,160.74120964470097
2025-12-13 08:00:00,95.55599332588093,31.924831621106456,159.18715503065542
2025-12-13 09:00:00,97.90142062655492,34.270258921780446,161.5325823313294
2025-12-13 10:00:00,98.26312666503213,34.631964960257655,161.89428836980662
2025-12-13 11:00:00,89.90625223144224,26.27509052666776,153.53741393621672
2025-12-13 12:00:00,85.52325111839713,21.89208941362265,149.1544128231716
2025-12-13 13:00:00,88.79724090256761,25.16607919779313,152.4284026073421
2025-12-13 14:00:00,100.39164104803189,36.76047934325741,164.02280275280637
2025-12-13 15:00:00,99.55908895829455,35.927927253520075,163.19025066306904
2025-12-13 16:00:00,93.91888145726695,30.28771975249247,157.55004316204142
2025-12-13 17:00:00,96.59570784732611,32.96454614255163,160.2268695521006
2025-12-13 18:00:00,92.23592307332393,28.604761368549454,155.86708477809842
2025-12-13 19:00:00,92.1898018183829,28.558640113608426,155.8209635231574
2025-12-13 20:00:00,88.3795245194977,24.74836281472323,152.01068622427218
2025-12-13 21:00:00,95.60472693322609,31.973565228451612,159.23588863800057
2025-12-13 22:00:00,109.09901851169084,45.467856806916366,172.73018021646533
